County,State,AvgP_Below_1.00x_FPL,AvgP_Below_1.50x_FPL,AvgP_Below_2.00x_FPL
MAHONING,OH,13.66,21.82,30.63
MARION,OH,11.47,20.23,30.70
MEDINA,OH,4.53,7.40,12.64
MEIGS,OH,16.83,25.00,34.21
MERCER,OH,4.09,13.07,19.64
MIAMI,OH,6.41,13.00,19.89
MONROE,OH,12.53,23.36,32.66
MONTGOMERY,OH,13.44,20.94,29.32
MORGAN,OH,15.77,28.36,38.37
MORROW,OH,7.13,14.32,22.75
MUSKINGUM,OH,12.52,22.23,31.78
NOBLE,OH,8.96,14.17,24.53
OTTAWA,OH,6.78,12.48,20.46
PAULDING,OH,7.60,13.55,23.27
PERRY,OH,14.62,21.52,33.36
PICKAWAY,OH,8.86,14.79,22.84
PIKE,OH,14.11,25.27,35.85
PORTAGE,OH,8.52,14.15,22.05
PREBLE,OH,8.72,14.71,23.45
PUTNAM,OH,5.30,9.69,16.58
RICHLAND,OH,10.09,20.30,29.81
ROSS,OH,12.82,21.96,30.44
SANDUSKY,OH,10.17,16.56,24.31
SCIOTO,OH,17.81,28.00,36.80
SENECA,OH,10.50,18.67,27.66
SHELBY,OH,7.03,13.92,21.57
STARK,OH,10.01,16.61,25.19
SUMMIT,OH,9.37,16.15,23.58
TRUMBULL,OH,13.34,20.97,29.47
TUSCARAWAS,OH,9.87,16.80,27.07
UNION,OH,4.52,9.41,14.26
VAN WERT,OH,7.14,13.87,24.43
VINTON,OH,14.24,26.95,35.63
WARREN,OH,3.43,7.00,11.81
WASHINGTON,OH,11.19,18.54,26.87
WAYNE,OH,8.87,15.12,24.60
WILLIAMS,OH,9.25,16.05,26.34
WOOD,OH,6.03,11.94,18.41
WYANDOT,OH,5.73,15.90,24.38
ADAIR,OK,23.24,36.41,49.39
ALFALFA,OK,5.44,10.68,19.82
ATOKA,OK,16.02,28.23,40.27
BEAVER,OK,9.22,17.97,30.15
BECKHAM,OK,7.80,20.12,29.33
BLAINE,OK,8.54,24.64,30.38
BRYAN,OK,11.17,24.58,35.99
CADDO,OK,16.04,25.30,36.58
CANADIAN,OK,5.73,11.58,18.20
CARTER,OK,12.44,21.34,31.26
CHEROKEE,OK,13.54,25.21,36.73
CHOCTAW,OK,22.79,34.99,42.88
CIMARRON,OK,12.02,23.37,35.06
CLEVELAND,OK,7.37,13.53,21.33
COAL,OK,18.94,26.63,35.35
COMANCHE,OK,11.47,22.42,30.86
COTTON,OK,12.91,22.74,33.25
CRAIG,OK,13.77,27.06,38.51
CREEK,OK,12.23,20.52,31.72
CUSTER,OK,11.34,25.34,34.53
DELAWARE,OK,13.98,26.19,38.13
DEWEY,OK,11.71,21.06,28.31
ELLIS,OK,10.17,19.67,27.91
GARFIELD,OK,11.09,20.28,28.58
GARVIN,OK,10.58,20.87,32.62
GRADY,OK,8.27,16.27,24.89
GRANT,OK,6.58,15.24,23.98
GREER,OK,14.72,28.24,40.97
HARMON,OK,11.65,23.17,36.80
HARPER,OK,9.88,18.41,28.06
HASKELL,OK,14.46,28.35,40.22
HUGHES,OK,13.83,25.46,35.28
JACKSON,OK,14.04,25.36,37.22
JEFFERSON,OK,17.44,31.53,45.82
JOHNSTON,OK,14.08,24.09,35.85
KAY,OK,13.18,22.14,32.15
KINGFISHER,OK,9.02,16.82,24.89
KIOWA,OK,17.46,26.00,39.04
LATIMER,OK,15.60,27.84,37.35
LE FLORE,OK,17.28,28.68,40.68
LINCOLN,OK,10.01,19.88,29.29
LOGAN,OK,8.93,16.58,22.91
LOVE,OK,9.09,19.02,28.33
MCCLAIN,OK,6.80,13.18,20.32
MCCURTAIN,OK,18.56,32.95,45.28
MCINTOSH,OK,16.05,27.30,38.09
MAJOR,OK,8.25,13.35,24.42
MARSHALL,OK,11.83,23.55,35.68
MAYES,OK,13.55,23.15,32.93
MURRAY,OK,9.26,18.48,26.33
MUSKOGEE,OK,15.91,26.18,36.52
NOBLE,OK,7.70,14.03,25.87
NOWATA,OK,13.05,21.87,36.62
OKFUSKEE,OK,17.80,30.66,43.20
OKLAHOMA,OK,12.47,21.07,29.69
OKMULGEE,OK,16.43,28.92,38.03
OSAGE,OK,11.60,20.62,30.06
OTTAWA,OK,16.04,28.14,40.92
PAWNEE,OK,11.49,21.74,33.92
PAYNE,OK,13.04,21.04,31.25
PITTSBURG,OK,12.46,21.78,33.12
PONTOTOC,OK,10.59,18.81,29.32
POTTAWATOMIE,OK,11.94,21.24,33.22
PUSHMATAHA,OK,13.72,26.22,38.92
ROGER MILLS,OK,16.31,23.67,32.16
ROGERS,OK,7.26,13.67,21.60
SEMINOLE,OK,15.48,27.93,41.41
SEQUOYAH,OK,18.78,31.58,44.33
STEPHENS,OK,11.32,21.13,31.48
TEXAS,OK,12.08,23.29,31.66
TILLMAN,OK,16.92,28.52,39.57
TULSA,OK,11.44,19.41,27.59
WAGONER,OK,7.68,14.61,23.56
WASHINGTON,OK,10.75,19.62,29.10
WASHITA,OK,10.85,18.23,26.60
WOODS,OK,8.44,14.45,22.61
WOODWARD,OK,8.60,16.69,24.70
BAKER,OR,10.86,18.01,29.50
BENTON,OR,7.50,13.68,19.85
CLACKAMAS,OR,5.67,9.45,15.23
CLATSOP,OR,5.64,14.73,23.83
COLUMBIA,OR,7.49,14.36,22.20
COOS,OR,12.61,21.98,31.27
CROOK,OR,10.15,18.93,33.22
CURRY,OR,9.10,15.98,28.05
DESCHUTES,OR,7.32,13.60,20.23
DOUGLAS,OR,11.33,20.60,31.66
GILLIAM,OR,3.44,14.12,31.11
GRANT,OR,7.59,17.66,26.69
HARNEY,OR,11.93,22.13,35.24
HOOD RIVER,OR,4.48,14.53,23.77
JACKSON,OR,11.53,19.66,29.41
JEFFERSON,OR,11.31,19.26,29.22
JOSEPHINE,OR,12.96,25.19,34.47
KLAMATH,OR,14.04,24.45,35.97
LAKE,OR,15.33,28.30,40.80
LANE,OR,10.29,18.13,26.72
LINCOLN,OR,11.20,19.83,30.74
LINN,OR,10.45,19.28,27.99
MALHEUR,OR,17.12,28.10,39.38
MARION,OR,10.75,20.40,29.36
MORROW,OR,11.07,20.53,32.59
MULTNOMAH,OR,9.51,16.00,22.77
POLK,OR,9.02,16.13,25.29
SHERMAN,OR,7.83,14.77,26.40
TILLAMOOK,OR,8.82,17.43,28.92
UMATILLA,OR,13.82,23.53,33.68
UNION,OR,10.49,21.76,29.87
WALLOWA,OR,11.51,19.84,27.89
WASCO,OR,9.90,18.34,28.92
WASHINGTON,OR,6.43,11.54,17.26
WHEELER,OR,12.11,24.48,35.57
YAMHILL,OR,10.62,16.77,24.42
ADAMS,PA,5.75,10.47,17.69
ALLEGHENY,PA,7.90,13.24,19.33
ARMSTRONG,PA,8.60,16.16,25.26
BEAVER,PA,7.62,13.58,21.03
BEDFORD,PA,8.72,17.00,26.54
BERKS,PA,9.09,15.87,22.99
BLAIR,PA,10.62,17.99,26.65
BRADFORD,PA,8.04,16.83,26.41
BUCKS,PA,3.99,7.18,11.51
BUTLER,PA,5.45,9.41,15.00
CAMBRIA,PA,10.43,17.06,25.78
CAMERON,PA,9.36,17.49,30.76
CARBON,PA,8.43,14.62,23.40
CENTRE,PA,5.45,10.51,17.13
CHESTER,PA,3.99,7.30,10.97
CLARION,PA,9.86,17.39,27.25
CLEARFIELD,PA,10.12,18.85,28.30
CLINTON,PA,10.31,16.03,25.20
COLUMBIA,PA,7.90,14.81,24.83
CRAWFORD,PA,10.18,18.25,27.27
CUMBERLAND,PA,4.43,9.23,15.78
DAUPHIN,PA,9.06,15.66,23.07
DELAWARE,PA,7.10,12.53,18.62
ELK,PA,6.98,12.90,22.32
ERIE,PA,11.03,18.87,27.79
FAYETTE,PA,13.06,21.62,30.79
FOREST,PA,7.57,14.09,24.19
FRANKLIN,PA,7.46,13.56,21.19
FULTON,PA,8.54,16.58,27.46
GREENE,PA,10.43,17.03,25.36
HUNTINGDON,PA,9.47,17.65,27.68
INDIANA,PA,8.18,17.70,25.25
JEFFERSON,PA,10.06,18.31,28.13
JUNIATA,PA,6.95,15.51,25.23
LACKAWANNA,PA,10.68,17.51,25.93
LANCASTER,PA,6.40,12.41,20.37
LAWRENCE,PA,10.47,19.39,27.61
LEBANON,PA,8.32,14.77,24.04
LEHIGH,PA,9.26,16.19,23.62
LUZERNE,PA,11.00,18.24,26.59
LYCOMING,PA,9.61,15.87,25.83
MCKEAN,PA,11.72,20.20,28.35
MERCER,PA,10.71,16.94,25.81
MIFFLIN,PA,9.92,19.09,29.70
MONROE,PA,8.39,14.16,21.14
MONTGOMERY,PA,4.14,7.49,11.83
MONTOUR,PA,6.60,14.45,20.99
NORTHAMPTON,PA,6.44,11.85,18.18
NORTHUMBERLAND,PA,9.39,18.69,28.27
PERRY,PA,4.83,11.40,18.81
PHILADELPHIA,PA,19.64,29.64,39.59
PIKE,PA,8.29,13.33,21.27
POTTER,PA,9.42,20.00,29.21
SCHUYLKILL,PA,9.31,16.91,27.17
SNYDER,PA,7.70,16.03,24.05
SOMERSET,PA,8.91,17.13,26.90
SULLIVAN,PA,6.26,14.57,26.84
SUSQUEHANNA,PA,8.40,15.91,25.78
TIOGA,PA,9.22,17.74,27.99
UNION,PA,7.99,13.11,23.75
VENANGO,PA,9.78,17.74,27.72
WARREN,PA,9.03,16.64,27.14
WASHINGTON,PA,6.39,12.05,18.71
WAYNE,PA,6.85,13.36,20.68
WESTMORELAND,PA,6.74,11.94,18.66
WYOMING,PA,7.53,14.00,22.64
YORK,PA,6.99,12.96,19.88
BRISTOL,RI,5.70,10.05,15.06
KENT,RI,4.83,9.66,14.67
NEWPORT,RI,5.60,9.02,13.75
PROVIDENCE,RI,12.22,19.66,28.21
WASHINGTON,RI,5.17,8.69,12.31
ABBEVILLE,SC,16.82,25.95,36.44
AIKEN,SC,12.89,22.21,31.55
ALLENDALE,SC,20.91,39.31,53.10
ANDERSON,SC,11.57,20.92,30.28
BAMBERG,SC,18.28,30.80,42.95
BARNWELL,SC,20.65,29.25,40.66
BEAUFORT,SC,7.09,13.07,20.64
BERKELEY,SC,8.98,16.34,25.64
CALHOUN,SC,11.07,18.71,25.51
CHARLESTON,SC,9.53,15.79,22.26
CHEROKEE,SC,14.93,25.16,37.24
CHESTER,SC,16.39,24.85,37.62
CHESTERFIELD,SC,17.39,29.95,40.75
CLARENDON,SC,18.30,29.89,40.86
COLLETON,SC,16.73,31.59,41.64
DARLINGTON,SC,17.32,27.82,40.77
DILLON,SC,28.53,39.93,53.79
DORCHESTER,SC,8.81,14.76,23.11
EDGEFIELD,SC,12.22,22.55,30.58
FAIRFIELD,SC,17.29,29.01,41.73
FLORENCE,SC,14.80,24.99,34.21
GEORGETOWN,SC,12.77,21.24,29.80
GREENVILLE,SC,8.87,16.37,25.08
GREENWOOD,SC,17.10,26.59,36.13
HAMPTON,SC,15.00,30.81,45.02
HORRY,SC,11.72,19.69,29.16
JASPER,SC,15.01,30.05,42.06
KERSHAW,SC,12.43,20.67,32.35
LANCASTER,SC,10.89,17.08,25.29
LAURENS,SC,15.53,26.65,38.25
LEE,SC,17.37,33.81,45.98
LEXINGTON,SC,9.38,16.02,23.91
MCCORMICK,SC,13.48,22.74,34.32
MARION,SC,18.22,30.53,45.04
MARLBORO,SC,22.85,35.10,44.44
NEWBERRY,SC,13.29,24.83,33.76
OCONEE,SC,12.68,20.33,30.00
ORANGEBURG,SC,19.09,30.32,40.71
PICKENS,SC,9.27,17.55,27.82
RICHLAND,SC,11.38,20.17,28.26
SALUDA,SC,11.93,24.68,38.39
SPARTANBURG,SC,10.87,20.72,30.22
SUMTER,SC,16.15,26.69,38.81
UNION,SC,17.87,26.20,39.88
WILLIAMSBURG,SC,19.24,30.65,46.30
YORK,SC,8.58,14.96,23.01
AURORA,SD,5.61,11.78,20.34
BEADLE,SD,12.92,19.53,24.15
BENNETT,SD,21.84,28.23,39.95
BON HOMME,SD,4.92,13.50,22.41
BROOKINGS,SD,5.65,9.78,15.57
BROWN,SD,8.00,14.03,20.10
BRULE,SD,9.76,17.61,33.04
BUFFALO,SD,36.00,52.24,65.41
BUTTE,SD,7.25,18.18,33.89
CAMPBELL,SD,3.03,8.84,21.72
CHARLES MIX,SD,11.95,22.58,33.94
CLARK,SD,7.66,16.61,28.05
CLAY,SD,11.90,16.61,24.47
CODINGTON,SD,7.76,12.60,21.14
CORSON,SD,33.07,47.65,52.01
CUSTER,SD,10.32,15.13,22.33
DAVISON,SD,6.67,14.73,24.95
DAY,SD,16.52,23.71,31.22
DEUEL,SD,5.44,11.61,21.19
DEWEY,SD,24.96,38.07,49.15
DOUGLAS,SD,4.17,10.09,22.48
EDMUNDS,SD,3.23,9.77,17.74
FALL RIVER,SD,9.96,17.69,27.49
FAULK,SD,0.37,7.45,16.76
GRANT,SD,3.18,6.79,13.24
GREGORY,SD,9.88,20.19,30.86
HAAKON,SD,12.19,26.23,47.22
HAMLIN,SD,3.16,9.31,18.55
HAND,SD,8.02,11.63,21.60
HANSON,SD,4.33,7.13,15.16
HARDING,SD,2.58,9.56,18.09
HUGHES,SD,6.74,11.51,14.20
HUTCHINSON,SD,6.26,13.15,20.77
HYDE,SD,6.28,10.38,22.95
JACKSON,SD,32.77,46.83,56.57
JERAULD,SD,4.79,8.10,15.47
JONES,SD,7.73,11.36,30.91
KINGSBURY,SD,4.99,8.94,15.80
LAKE,SD,3.36,9.96,14.67
LAWRENCE,SD,5.73,9.96,19.53
LINCOLN,SD,1.83,5.43,11.13
LYMAN,SD,15.80,25.38,33.64
MCCOOK,SD,5.66,11.70,20.10
MCPHERSON,SD,6.49,12.01,24.19
MARSHALL,SD,5.12,12.64,17.11
MEADE,SD,4.62,13.57,23.38
MELLETTE,SD,37.99,44.56,57.08
MINER,SD,5.64,13.01,23.04
MINNEHAHA,SD,7.55,12.96,19.87
MOODY,SD,7.93,14.58,23.38
OGLALA LAKOTA,SD,45.14,59.35,68.37
PENNINGTON,SD,9.24,15.51,23.03
PERKINS,SD,8.78,14.92,24.07
POTTER,SD,4.32,9.92,23.52
ROBERTS,SD,13.68,24.12,32.77
SANBORN,SD,4.95,10.89,19.09
SPINK,SD,5.87,11.13,21.23
STANLEY,SD,2.42,3.83,14.31
SULLY,SD,2.72,10.05,17.39
TODD,SD,52.08,64.42,70.84
TRIPP,SD,17.03,23.51,29.67
TURNER,SD,6.37,13.38,20.48
UNION,SD,4.35,9.03,15.45
WALWORTH,SD,2.93,7.58,17.55
YANKTON,SD,7.41,15.34,24.06
ZIEBACH,SD,32.09,44.65,54.16
ANDERSON,TN,13.51,21.24,29.34
BEDFORD,TN,12.01,23.20,34.98
BENTON,TN,13.89,30.14,41.72
BLEDSOE,TN,15.44,27.17,40.28
BLOUNT,TN,8.33,16.78,25.12
BRADLEY,TN,12.09,21.09,30.45
CAMPBELL,TN,14.70,28.67,39.41
CANNON,TN,12.48,23.34,31.06
CARROLL,TN,13.61,22.89,34.68
CARTER,TN,17.82,28.65,38.92
CHEATHAM,TN,6.31,13.97,24.06
CHESTER,TN,13.23,21.31,29.61
CLAIBORNE,TN,18.09,27.61,39.36
CLAY,TN,19.60,36.10,46.72
COCKE,TN,19.91,31.80,43.18
COFFEE,TN,10.28,20.65,31.83
CROCKETT,TN,13.87,25.59,33.84
CUMBERLAND,TN,10.48,19.79,31.31
DAVIDSON,TN,12.40,20.37,28.52
DECATUR,TN,14.28,26.57,38.90
DEKALB,TN,14.11,23.69,37.02
DICKSON,TN,10.08,18.01,26.93
DYER,TN,14.57,25.11,36.78
FAYETTE,TN,9.81,16.42,26.13
FENTRESS,TN,18.60,33.23,43.38
FRANKLIN,TN,11.46,19.63,29.36
GIBSON,TN,13.53,25.18,35.98
GILES,TN,10.02,19.87,29.21
GRAINGER,TN,14.11,25.38,34.48
GREENE,TN,13.26,26.04,36.12
GRUNDY,TN,19.30,32.88,44.40
HAMBLEN,TN,14.65,25.65,35.84
HAMILTON,TN,9.07,16.19,24.02
HANCOCK,TN,20.75,33.18,48.26
HARDEMAN,TN,15.03,27.42,38.83
HARDIN,TN,14.78,24.78,37.16
HAWKINS,TN,15.38,25.31,36.87
HAYWOOD,TN,13.34,26.09,38.16
HENDERSON,TN,14.04,25.56,34.15
HENRY,TN,14.81,24.87,36.96
HICKMAN,TN,12.88,19.67,36.25
HOUSTON,TN,9.89,19.57,33.67
HUMPHREYS,TN,12.14,21.57,32.20
JACKSON,TN,14.74,24.26,37.94
JEFFERSON,TN,10.23,20.74,31.65
JOHNSON,TN,16.05,28.83,45.60
KNOX,TN,10.17,17.18,24.49
LAKE,TN,21.65,32.27,40.91
LAUDERDALE,TN,19.08,34.68,47.71
LAWRENCE,TN,14.20,25.75,36.69
LEWIS,TN,13.87,25.07,37.47
LINCOLN,TN,11.74,22.24,32.77
LOUDON,TN,7.65,13.99,25.37
MCMINN,TN,15.15,24.38,35.90
MCNAIRY,TN,15.09,29.77,42.50
MACON,TN,15.63,29.41,40.97
MADISON,TN,14.80,23.25,32.28
MARION,TN,14.30,21.20,29.93
MARSHALL,TN,10.89,20.05,30.27
MAURY,TN,9.98,17.32,26.22
MEIGS,TN,11.90,21.61,30.50
MONROE,TN,14.68,28.14,37.84
MONTGOMERY,TN,10.93,19.04,29.99
MOORE,TN,6.88,19.76,26.33
MORGAN,TN,16.43,30.25,41.95
OBION,TN,17.61,28.59,37.98
OVERTON,TN,10.61,24.98,37.19
PERRY,TN,21.56,32.57,44.60
PICKETT,TN,14.72,24.61,35.75
POLK,TN,13.13,25.83,35.41
PUTNAM,TN,12.63,23.15,34.30
RHEA,TN,16.89,26.68,38.57
ROANE,TN,11.31,17.48,27.49
ROBERTSON,TN,9.18,16.15,24.40
RUTHERFORD,TN,7.40,13.42,21.12
SCOTT,TN,18.46,30.35,43.57
SEQUATCHIE,TN,14.33,23.38,36.37
SEVIER,TN,10.49,21.41,33.56
SHELBY,TN,15.73,24.55,33.08
SMITH,TN,11.04,20.99,34.32
STEWART,TN,13.13,21.08,33.01
SULLIVAN,TN,12.55,22.38,32.27
SUMNER,TN,7.21,13.46,20.38
TIPTON,TN,12.03,20.20,28.00
TROUSDALE,TN,8.01,16.12,33.18
UNICOI,TN,17.02,27.63,41.54
UNION,TN,19.42,29.92,40.22
VAN BUREN,TN,11.15,30.24,42.30
WARREN,TN,17.48,28.23,37.95
WASHINGTON,TN,10.60,19.40,28.71
WAYNE,TN,16.96,26.28,39.92
WEAKLEY,TN,13.46,24.42,34.92
WHITE,TN,12.91,24.83,39.39
WILLIAMSON,TN,2.88,6.06,9.40
WILSON,TN,6.13,11.14,17.23
ANDERSON,TX,11.36,24.04,37.77
ANDREWS,TX,8.63,14.79,21.61
ANGELINA,TX,15.06,25.12,36.63
ARANSAS,TX,11.93,21.96,31.44
ARCHER,TX,6.32,13.39,20.08
ARMSTRONG,TX,4.09,7.46,17.41
ATASCOSA,TX,12.02,21.33,34.60
AUSTIN,TX,7.82,15.68,23.09
BAILEY,TX,9.91,20.52,42.77
BANDERA,TX,11.56,17.10,24.75
BASTROP,TX,7.41,16.15,24.74
BAYLOR,TX,8.34,15.98,30.85
BEE,TX,21.04,31.91,45.10
BELL,TX,11.08,20.18,30.75
BEXAR,TX,12.62,22.25,31.49
BLANCO,TX,6.95,15.34,24.63
BORDEN,TX,0.00,1.07,10.16
BOSQUE,TX,11.68,19.90,31.17
BOWIE,TX,13.84,22.74,32.86
BRAZORIA,TX,7.19,12.22,18.61
BRAZOS,TX,13.20,22.29,30.88
BREWSTER,TX,9.24,21.66,34.00
BRISCOE,TX,9.29,26.19,37.38
BROOKS,TX,33.88,45.26,59.28
BROWN,TX,11.06,20.25,32.48
BURLESON,TX,7.86,14.56,24.06
BURNET,TX,7.84,14.60,22.77
CALDWELL,TX,12.96,24.10,35.26
CALHOUN,TX,8.60,18.01,30.20
CALLAHAN,TX,8.70,17.37,29.00
CAMERON,TX,27.01,41.49,52.79
CAMP,TX,14.05,26.04,40.21
CARSON,TX,4.98,10.83,15.56
CASS,TX,13.75,23.27,36.59
CASTRO,TX,11.14,19.53,40.78
CHAMBERS,TX,9.33,16.86,22.52
CHEROKEE,TX,14.55,26.95,37.09
CHILDRESS,TX,11.96,30.46,42.01
CLAY,TX,10.69,15.37,26.49
COCHRAN,TX,19.22,34.97,39.88
COKE,TX,8.40,15.63,25.88
COLEMAN,TX,13.57,22.81,33.33
COLLIN,TX,4.72,8.63,13.25
COLLINGSWORTH,TX,13.53,26.03,43.30
COLORADO,TX,7.41,19.50,27.14
COMAL,TX,5.73,11.85,18.38
COMANCHE,TX,12.30,19.61,30.30
CONCHO,TX,8.75,21.89,30.81
COOKE,TX,10.28,17.32,25.99
CORYELL,TX,10.85,22.18,35.18
COTTLE,TX,19.37,29.78,47.70
CRANE,TX,6.78,14.45,21.77
CROCKETT,TX,15.67,15.67,21.44
CROSBY,TX,17.03,31.74,46.09
CULBERSON,TX,23.95,38.84,46.74
DALLAM,TX,7.99,14.12,26.72
DALLAS,TX,13.28,23.91,34.11
DAWSON,TX,17.57,35.21,42.06
DEAF SMITH,TX,15.74,23.68,33.07
DELTA,TX,16.89,21.37,30.76
DENTON,TX,5.06,9.52,14.84
DEWITT,TX,12.15,21.53,31.37
DICKENS,TX,13.13,23.75,32.43
DIMMIT,TX,22.14,41.44,54.51
DONLEY,TX,9.65,19.55,30.33
DUVAL,TX,21.64,35.57,48.91
EASTLAND,TX,15.43,27.47,39.79
ECTOR,TX,9.16,18.38,27.59
EDWARDS,TX,4.01,22.88,35.14
ELLIS,TX,7.03,13.73,20.71
EL PASO,TX,18.14,31.46,43.62
ERATH,TX,10.69,17.95,29.93
FALLS,TX,21.81,29.25,35.72
FANNIN,TX,9.00,17.80,27.57
FAYETTE,TX,5.83,15.15,21.51
FISHER,TX,12.32,17.94,27.74
FLOYD,TX,15.14,28.09,38.69
FOARD,TX,7.12,21.10,37.26
FORT BEND,TX,6.20,10.79,16.76
FRANKLIN,TX,5.23,13.47,23.61
FREESTONE,TX,12.64,24.27,32.44
FRIO,TX,17.36,31.21,42.75
GAINES,TX,10.75,22.69,36.75
GALVESTON,TX,9.93,16.61,22.60
GARZA,TX,11.53,19.67,26.75
GILLESPIE,TX,9.07,16.12,25.09
GLASSCOCK,TX,7.38,20.22,29.78
GOLIAD,TX,10.72,17.07,23.05
GONZALES,TX,11.75,22.97,33.14
GRAY,TX,12.54,25.69,32.59
GRAYSON,TX,10.59,18.67,27.73
GREGG,TX,13.92,25.00,34.27
GRIMES,TX,13.43,22.90,31.17
GUADALUPE,TX,6.61,12.62,19.70
HALE,TX,14.39,23.84,36.89
HALL,TX,20.91,42.29,57.71
HAMILTON,TX,11.80,21.12,28.01
HANSFORD,TX,15.05,30.38,47.59
HARDEMAN,TX,8.67,23.15,35.67
